crop,health_status,n,p,k,ph,soil_moisture
Rice,Nitrogen Deficiency,68.23,85.33,52.42,7.86,61.04
Sugarcane,Potassium Toxicity,56.68,50.13,56.71,4.7,67.91
Rice,Potassium Toxicity,43.46,62.73,50.86,5.44,69.62
Cotton,Nitrogen Deficiency,76.28,75.15,83.56,6.0,42.15
Rice,pH Stress,47.92,80.16,54.02,5.36,68.29
Rice,Optimal Health,70.16,63.02,60.47,7.8,35.13
Wheat,Potassium Toxicity,72.84,60.96,54.17,5.76,31.22
Maize,Optimal Health,66.2,45.36,57.68,5.95,49.99
Wheat,Optimal Health,59.87,66.77,76.79,5.41,59.7
Cotton,pH Stress,78.06,43.13,54.54,5.71,63.74
Cotton,Phosphorus Deficiency,41.23,88.02,84.9,5.3,41.77
Wheat,Nitrogen Deficiency,62.32,72.58,56.62,4.64,41.3
Maize,pH Stress,44.16,81.14,50.5,6.55,48.75
Maize,Phosphorus Deficiency,65.03,63.34,58.18,4.83,50.68
Wheat,Phosphorus Deficiency,76.31,49.31,80.73,4.41,61.37
Sugarcane,Potassium Toxicity,40.65,85.19,59.72,7.46,60.63
Cotton,Optimal Health,50.3,64.39,80.43,7.98,30.26
Wheat,Potassium Toxicity,61.44,46.08,64.2,4.05,52.39
Wheat,Optimal Health,45.11,52.09,58.78,6.57,37.8
Rice,Phosphorus Deficiency,72.94,68.21,59.71,7.53,32.69
Maize,Optimal Health,46.89,77.24,69.49,4.64,39.45
Maize,Phosphorus Deficiency,83.83,85.98,57.49,4.52,50.72
Cotton,Phosphorus Deficiency,48.1,43.99,53.1,5.0,65.83
Cotton,Nitrogen Deficiency,47.57,63.32,46.73,6.68,36.56
Maize,Potassium Toxicity,69.95,54.73,56.09,5.96,39.51
Maize,Potassium Toxicity,54.58,67.43,56.54,6.68,55.93
Wheat,Potassium Toxicity,65.16,43.02,61.75,6.59,36.37
Maize,Phosphorus Deficiency,67.67,46.68,47.1,4.07,52.74
Maize,pH Stress,44.24,87.42,58.03,7.94,59.49
Cotton,Potassium Toxicity,40.57,86.26,74.21,5.09,42.06
Maize,Nitrogen Deficiency,61.35,62.18,45.41,6.85,59.81
Wheat,Potassium Toxicity,74.62,41.66,75.21,5.54,69.72
Rice,Optimal Health,86.98,52.65,47.6,7.95,55.41
Cotton,pH Stress,42.65,79.28,59.42,7.95,55.36
Wheat,pH Stress,86.56,89.08,50.39,5.26,43.91
Rice,Phosphorus Deficiency,54.94,71.38,79.51,7.03,62.47
Maize,Nitrogen Deficiency,60.72,83.3,73.92,6.94,44.3
Rice,Potassium Toxicity,72.01,82.55,53.04,7.77,52.5
Maize,Potassium Toxicity,67.18,64.16,58.41,5.89,58.16
Cotton,Nitrogen Deficiency,64.19,52.11,76.79,7.35,66.01
Wheat,Optimal Health,56.76,47.11,43.92,6.45,49.27
Rice,Nitrogen Deficiency,59.71,46.04,82.59,6.69,43.17
Rice,Potassium Toxicity,84.42,62.67,83.7,7.73,69.48
Rice,Phosphorus Deficiency,54.74,69.96,44.7,6.04,67.61
Cotton,Potassium Toxicity,75.77,66.54,85.49,4.11,68.97
Rice,Nitrogen Deficiency,67.47,72.77,58.08,4.85,34.47
Maize,Nitrogen Deficiency,69.58,69.6,55.76,6.51,53.48
Cotton,Optimal Health,57.82,81.41,50.8,5.78,55.87
Rice,Nitrogen Deficiency,72.72,53.72,45.41,7.63,48.98
Maize,Optimal Health,52.89,80.89,70.09,7.56,55.3
Wheat,Optimal Health,43.94,81.81,54.11,5.55,42.5
Maize,Phosphorus Deficiency,65.11,75.45,62.58,6.06,65.38
Maize,pH Stress,54.75,47.7,57.02,6.78,54.92
Wheat,Optimal Health,84.1,58.88,51.1,7.42,32.93
Cotton,Optimal Health,83.98,42.75,49.58,5.83,34.41
Sugarcane,Optimal Health,88.71,83.9,86.18,5.51,50.25
Wheat,Nitrogen Deficiency,77.9,58.01,65.31,5.69,67.59
Sugarcane,Phosphorus Deficiency,63.02,58.43,76.39,6.01,65.8
Sugarcane,Nitrogen Deficiency,80.53,81.98,45.21,4.23,69.55
Sugarcane,pH Stress,66.39,55.29,85.21,5.04,39.63
Wheat,Potassium Toxicity,50.64,55.41,82.6,6.41,44.73
Sugarcane,Nitrogen Deficiency,60.2,73.58,84.23,6.93,63.82
Maize,Potassium Toxicity,43.8,72.41,58.82,5.7,31.71
Sugarcane,Potassium Toxicity,87.52,46.9,76.35,5.66,57.39
Maize,Optimal Health,86.0,76.18,78.55,6.92,50.18
Wheat,Optimal Health,45.89,82.1,81.33,5.36,39.23
Sugarcane,Phosphorus Deficiency,83.75,43.03,54.43,7.54,35.62
Sugarcane,Potassium Toxicity,79.49,50.96,80.37,6.53,56.09
Sugarcane,Optimal Health,50.59,86.87,85.06,4.89,65.9
Wheat,Phosphorus Deficiency,82.99,85.57,47.86,4.62,63.78
Sugarcane,pH Stress,50.29,89.22,79.78,5.83,46.1
Cotton,Potassium Toxicity,74.37,81.77,77.48,5.91,34.66
Cotton,Optimal Health,67.02,43.72,86.22,5.32,63.92
Maize,Potassium Toxicity,68.11,51.67,81.06,5.99,66.19
Wheat,Nitrogen Deficiency,74.98,49.65,48.91,4.2,66.48
Wheat,Phosphorus Deficiency,78.68,55.77,65.93,6.08,69.06
Maize,Optimal Health,56.63,63.09,78.95,7.63,39.77
Sugarcane,Nitrogen Deficiency,47.72,87.97,64.83,6.86,56.46
Rice,pH Stress,41.53,63.52,65.77,7.01,57.09
Rice,Phosphorus Deficiency,46.17,49.67,73.52,7.35,30.75
Maize,Nitrogen Deficiency,74.65,85.54,44.91,6.94,45.92
Rice,Potassium Toxicity,68.17,78.69,63.16,4.65,69.94
Cotton,pH Stress,40.94,65.54,59.69,7.62,55.07
Cotton,Potassium Toxicity,67.72,66.9,56.05,6.0,40.27
Wheat,Nitrogen Deficiency,65.02,40.25,75.73,6.55,57.81
Rice,Nitrogen Deficiency,50.88,48.32,41.68,7.4,67.26
Maize,pH Stress,51.62,67.98,83.67,7.98,49.05
Sugarcane,Optimal Health,40.9,68.45,43.48,6.22,47.08
Sugarcane,Optimal Health,59.96,53.61,73.68,6.04,52.41
Cotton,Nitrogen Deficiency,66.75,51.78,66.32,4.58,34.64
Maize,Potassium Toxicity,87.62,59.47,60.58,4.9,48.06
Maize,Nitrogen Deficiency,64.41,49.53,56.32,6.89,47.91
Sugarcane,Optimal Health,58.38,84.75,78.63,7.74,39.67
Sugarcane,Nitrogen Deficiency,72.08,74.29,52.38,6.58,37.84
Maize,Nitrogen Deficiency,58.09,80.04,60.58,6.76,67.44
Sugarcane,pH Stress,57.11,64.09,84.37,5.98,49.84
Sugarcane,Nitrogen Deficiency,42.71,53.69,59.68,7.64,32.5
Cotton,Nitrogen Deficiency,45.75,54.51,49.92,7.84,46.32
Sugarcane,Potassium Toxicity,42.8,53.27,78.84,5.97,59.33
Wheat,Optimal Health,85.29,48.98,45.55,4.08,56.46
Maize,Potassium Toxicity,52.82,74.8,46.21,4.97,35.98
Cotton,Potassium Toxicity,69.81,82.47,43.13,4.64,55.96
Maize,Potassium Toxicity,50.1,71.24,56.1,6.79,61.99
Cotton,Optimal Health,55.82,75.55,56.31,5.63,49.93
Sugarcane,pH Stress,66.76,81.34,46.99,6.63,68.93
Cotton,Nitrogen Deficiency,79.22,41.59,55.0,7.39,30.26
Maize,Nitrogen Deficiency,68.63,58.44,73.37,6.34,67.2
Maize,Optimal Health,60.4,84.81,82.04,7.7,36.11
Cotton,pH Stress,43.49,56.67,64.52,4.92,41.28
Wheat,Nitrogen Deficiency,53.7,44.39,47.62,6.8,64.77
Sugarcane,Optimal Health,83.74,86.9,88.48,6.88,65.87
Wheat,Optimal Health,47.58,51.56,60.19,6.32,37.17
Sugarcane,pH Stress,86.76,87.64,74.02,6.35,51.93
Wheat,pH Stress,57.87,75.31,75.52,6.46,43.73
Maize,pH Stress,51.58,67.92,53.78,4.86,53.74
Rice,pH Stress,50.76,82.0,85.11,7.1,69.35
Wheat,Nitrogen Deficiency,46.01,62.83,40.58,6.07,40.18
Rice,pH Stress,79.75,61.25,79.98,4.2,51.43
Sugarcane,Potassium Toxicity,83.89,73.24,74.44,5.72,32.76
Wheat,Potassium Toxicity,41.24,67.35,57.38,5.79,65.81
Wheat,Nitrogen Deficiency,41.34,57.68,89.2,6.65,47.27
Rice,pH Stress,75.15,58.58,47.63,7.17,54.77
Sugarcane,Phosphorus Deficiency,87.59,61.94,79.91,7.16,33.92
Wheat,pH Stress,84.38,59.52,48.14,7.27,56.3
Cotton,Potassium Toxicity,87.7,56.51,78.1,4.44,62.56
Sugarcane,Phosphorus Deficiency,61.42,68.71,66.51,4.01,66.0
Wheat,Phosphorus Deficiency,47.01,56.69,56.68,6.8,37.6
Cotton,Optimal Health,81.3,55.74,49.21,6.33,30.51
Rice,Nitrogen Deficiency,56.52,46.69,62.97,6.4,58.43
Rice,pH Stress,53.19,86.91,65.48,4.12,34.87
Rice,pH Stress,67.64,48.69,75.91,7.14,39.2
Rice,Phosphorus Deficiency,62.31,84.53,78.48,6.9,64.42
Sugarcane,Optimal Health,48.4,40.07,55.83,4.86,48.82
Wheat,Nitrogen Deficiency,48.57,66.22,77.91,6.5,30.08
Rice,pH Stress,76.82,42.12,63.11,5.38,46.08
Wheat,Phosphorus Deficiency,40.67,57.75,64.9,4.64,58.73
Cotton,Phosphorus Deficiency,71.92,58.8,52.27,5.11,48.27
Maize,Optimal Health,65.55,44.69,55.14,5.57,38.27
Cotton,Optimal Health,81.23,65.36,44.75,4.59,36.38
Sugarcane,Optimal Health,66.75,46.6,49.18,4.46,41.09
Rice,Optimal Health,46.35,83.11,52.14,6.71,43.85
Sugarcane,Phosphorus Deficiency,74.6,79.79,87.02,4.78,34.86
Cotton,Phosphorus Deficiency,55.18,53.8,52.51,4.17,56.04
Rice,Nitrogen Deficiency,87.93,89.08,67.87,5.58,55.3
Rice,Optimal Health,43.16,59.56,72.55,6.87,43.64
Cotton,Nitrogen Deficiency,59.25,50.66,79.33,5.93,55.58
Rice,pH Stress,41.22,56.88,48.36,4.65,56.68
Wheat,Potassium Toxicity,85.2,46.0,79.81,7.74,64.2
Maize,pH Stress,44.19,60.5,59.46,6.67,35.91
Maize,Nitrogen Deficiency,74.41,71.05,75.76,5.6,59.67
Wheat,pH Stress,72.79,70.31,47.74,5.94,37.47
Wheat,pH Stress,82.91,80.2,69.01,5.96,45.62
Wheat,Phosphorus Deficiency,88.52,47.53,42.11,7.84,64.08
Rice,pH Stress,63.47,49.83,74.14,6.03,49.16
Cotton,Phosphorus Deficiency,57.95,85.93,42.23,6.86,42.44
Maize,Phosphorus Deficiency,56.37,65.27,87.48,5.06,30.54
Wheat,Phosphorus Deficiency,89.33,74.89,51.23,6.54,66.97
Wheat,pH Stress,77.54,79.85,62.38,6.65,49.72
Cotton,Optimal Health,61.97,56.46,77.66,7.94,63.95
Sugarcane,Phosphorus Deficiency,86.97,84.68,69.63,6.61,46.44
Sugarcane,Potassium Toxicity,85.41,76.41,65.67,5.75,51.2
Wheat,Nitrogen Deficiency,61.13,49.97,89.49,7.34,40.84
Sugarcane,Nitrogen Deficiency,77.37,43.47,45.63,5.05,46.59
Maize,pH Stress,48.15,66.97,83.73,6.57,63.69
Rice,Phosphorus Deficiency,61.28,79.72,53.19,7.51,30.48
Wheat,pH Stress,78.01,78.39,86.89,6.42,59.79
Sugarcane,Optimal Health,58.73,88.84,88.32,5.75,52.76
Wheat,Nitrogen Deficiency,78.13,48.34,63.48,4.72,67.84
Rice,Potassium Toxicity,81.36,54.7,42.7,6.55,39.61
Rice,Phosphorus Deficiency,70.89,60.86,57.29,6.92,31.27
Sugarcane,Nitrogen Deficiency,71.57,45.37,40.98,6.4,67.79
Sugarcane,Optimal Health,53.11,46.14,70.1,7.85,39.43
Wheat,Phosphorus Deficiency,45.27,79.62,83.12,5.93,42.63
Maize,Phosphorus Deficiency,62.76,61.9,84.89,7.72,46.34
Rice,pH Stress,70.09,65.67,76.78,5.59,32.68
Maize,Nitrogen Deficiency,78.39,54.96,64.99,4.45,64.52
Rice,Optimal Health,89.57,76.9,89.45,6.29,45.42
Cotton,pH Stress,78.45,61.19,71.13,5.73,40.59
Wheat,pH Stress,49.83,86.94,62.72,4.38,33.48
Rice,Phosphorus Deficiency,64.66,41.33,65.52,6.66,38.83
Sugarcane,Nitrogen Deficiency,43.56,67.03,54.75,6.56,45.36
Rice,pH Stress,60.25,74.24,72.09,7.3,35.25
Wheat,Potassium Toxicity,67.71,68.79,72.14,4.67,45.28
Wheat,Optimal Health,48.73,46.13,40.57,4.46,63.48
Maize,Potassium Toxicity,57.75,56.82,81.45,7.36,43.82
Maize,Potassium Toxicity,88.52,53.59,71.99,4.31,42.79
Maize,Phosphorus Deficiency,74.49,54.05,62.49,5.65,49.02
Wheat,Phosphorus Deficiency,62.77,89.55,75.79,7.33,67.73
Cotton,Potassium Toxicity,41.93,49.44,63.6,4.64,32.74
Maize,Phosphorus Deficiency,82.19,67.72,43.48,4.48,49.12
Maize,Optimal Health,75.04,78.36,67.83,6.71,52.77
Rice,Phosphorus Deficiency,57.64,56.44,65.11,5.01,62.75
Sugarcane,pH Stress,78.85,74.28,78.16,4.9,52.96
Wheat,pH Stress,69.01,43.86,77.1,4.03,44.59
Cotton,pH Stress,81.14,45.68,74.61,4.58,50.94
Wheat,Nitrogen Deficiency,78.42,49.89,53.16,4.37,53.9
Cotton,pH Stress,59.88,65.15,66.39,5.84,51.79
Rice,Optimal Health,77.31,89.77,79.6,4.69,59.56
Rice,pH Stress,69.56,70.91,53.9,6.59,50.29
Wheat,Nitrogen Deficiency,83.88,73.63,79.94,7.2,52.55
Wheat,Optimal Health,88.43,47.17,72.47,5.48,35.79
Wheat,Phosphorus Deficiency,52.94,69.34,56.01,5.9,68.88
Rice,pH Stress,81.52,44.05,70.46,5.61,36.26
Sugarcane,Optimal Health,55.45,78.4,63.21,7.3,60.1
Cotton,pH Stress,78.77,70.34,46.69,4.88,53.04
Cotton,Optimal Health,62.25,71.6,62.76,6.94,54.16
Sugarcane,Potassium Toxicity,55.19,77.8,81.42,4.13,58.12
Sugarcane,pH Stress,63.51,77.43,58.34,5.93,47.42
Rice,Optimal Health,43.73,57.44,45.01,7.56,43.04
Rice,Nitrogen Deficiency,65.58,41.36,79.2,4.4,46.3
Sugarcane,Potassium Toxicity,43.05,56.53,61.58,7.05,69.37
Maize,Nitrogen Deficiency,52.41,48.2,82.47,4.88,48.08
Cotton,Nitrogen Deficiency,89.45,56.38,69.86,5.53,59.38
Cotton,pH Stress,72.7,64.67,74.75,4.46,30.8
Wheat,pH Stress,85.99,72.24,65.01,4.98,41.66
Wheat,Nitrogen Deficiency,56.32,51.9,57.83,5.79,61.2
Sugarcane,Potassium Toxicity,51.16,78.63,86.62,7.59,60.92
Maize,Potassium Toxicity,49.21,73.65,42.74,7.32,68.16
Wheat,Nitrogen Deficiency,56.0,63.93,72.13,6.97,62.69
Cotton,Phosphorus Deficiency,69.04,40.27,44.3,6.02,65.29
Wheat,Potassium Toxicity,54.76,58.38,84.9,4.54,47.35
Rice,Optimal Health,82.04,71.95,68.33,4.96,61.86
Sugarcane,Phosphorus Deficiency,51.95,61.94,83.19,5.25,36.13
Cotton,Potassium Toxicity,68.74,78.77,85.81,4.76,43.39
Sugarcane,Phosphorus Deficiency,89.69,66.13,68.85,4.93,44.57
Sugarcane,Potassium Toxicity,41.69,40.54,40.04,5.24,59.88
Sugarcane,pH Stress,75.87,67.36,88.95,4.99,49.42
Rice,pH Stress,61.53,40.67,60.43,5.48,47.64
Maize,Phosphorus Deficiency,62.3,70.35,49.23,5.02,31.22
Wheat,Phosphorus Deficiency,89.5,59.5,75.05,7.83,35.38
Maize,Nitrogen Deficiency,71.38,40.45,76.25,5.22,33.06
Maize,Optimal Health,63.96,49.28,70.4,7.78,32.2
Cotton,Phosphorus Deficiency,55.2,57.29,68.8,4.81,37.25
Cotton,Nitrogen Deficiency,45.48,61.53,81.35,5.97,30.78
Maize,Nitrogen Deficiency,51.85,66.31,73.41,5.47,53.17
Sugarcane,Nitrogen Deficiency,50.63,89.1,87.09,4.32,61.04
Rice,Optimal Health,53.76,48.73,64.55,7.18,63.9
Cotton,pH Stress,50.49,68.55,78.83,7.0,51.41
Cotton,Potassium Toxicity,62.9,88.31,88.08,7.99,52.77
Wheat,Optimal Health,58.52,73.16,70.03,6.62,64.43
Wheat,Potassium Toxicity,49.99,46.47,47.32,7.37,41.57
Sugarcane,Potassium Toxicity,64.28,77.27,80.52,7.88,59.69
Wheat,pH Stress,89.07,58.53,51.71,5.81,54.48
Cotton,Optimal Health,48.25,68.39,89.16,4.63,40.11
Maize,Optimal Health,77.27,80.33,47.67,6.77,37.71
Wheat,pH Stress,57.82,61.68,84.07,5.75,44.42
Rice,Optimal Health,87.67,57.14,74.15,6.19,42.39
Cotton,pH Stress,85.49,64.12,63.48,5.54,68.67
Rice,Nitrogen Deficiency,45.12,45.07,43.79,7.35,34.89
Wheat,Nitrogen Deficiency,41.28,45.16,42.32,6.41,49.14
Sugarcane,Potassium Toxicity,88.41,51.91,57.96,4.39,45.61
Rice,pH Stress,61.85,52.21,72.11,4.08,37.8
Rice,Nitrogen Deficiency,85.95,45.77,87.87,5.18,66.86
Sugarcane,Phosphorus Deficiency,51.47,63.27,68.52,6.14,45.57
Cotton,Optimal Health,52.54,88.08,49.25,5.95,58.31
Rice,Optimal Health,87.19,52.43,72.05,4.28,43.87
Sugarcane,Nitrogen Deficiency,84.27,42.5,60.37,5.8,51.06
Cotton,Nitrogen Deficiency,68.45,89.03,71.99,4.23,69.28
Sugarcane,Potassium Toxicity,72.14,51.96,65.61,4.96,48.04
Cotton,Nitrogen Deficiency,86.47,80.11,48.06,6.99,50.47
Wheat,Phosphorus Deficiency,48.04,82.5,89.61,7.3,67.78
Cotton,pH Stress,46.13,57.48,67.25,5.09,67.92
Cotton,Phosphorus Deficiency,64.16,61.73,64.86,5.6,41.71
Rice,Optimal Health,55.78,83.51,77.69,6.81,48.54
Rice,Optimal Health,82.69,44.93,89.24,4.74,49.52
Sugarcane,Optimal Health,50.71,50.34,55.95,7.15,54.92
Wheat,Optimal Health,79.43,65.78,82.69,7.5,58.0
Rice,Optimal Health,53.04,70.16,73.79,4.44,36.09
Sugarcane,Nitrogen Deficiency,73.21,65.13,57.29,5.17,55.32
Maize,Potassium Toxicity,87.37,55.17,48.07,5.09,37.3
Wheat,Potassium Toxicity,43.91,45.2,45.34,7.3,48.35
Wheat,pH Stress,42.93,56.66,79.98,5.0,51.46
Wheat,Optimal Health,81.47,84.07,52.95,4.23,50.73
Sugarcane,Optimal Health,68.32,77.22,58.32,5.28,31.61
Cotton,pH Stress,54.84,53.9,77.82,7.53,52.61
Sugarcane,Nitrogen Deficiency,49.05,47.89,50.72,4.63,65.15
Sugarcane,pH Stress,70.5,46.39,72.64,5.77,69.48
Sugarcane,Phosphorus Deficiency,71.4,83.17,62.17,4.49,65.66
Rice,Phosphorus Deficiency,52.83,83.4,55.89,5.3,67.04
Cotton,Nitrogen Deficiency,65.3,53.59,52.65,5.4,67.23
Sugarcane,Optimal Health,82.86,53.17,60.14,5.53,42.85
Sugarcane,Nitrogen Deficiency,55.8,82.4,83.85,5.5,50.62
Sugarcane,Potassium Toxicity,46.73,74.93,68.24,6.66,37.63
Maize,pH Stress,63.74,42.07,61.37,5.63,45.37
Wheat,Potassium Toxicity,84.8,79.91,44.85,6.92,49.63
Wheat,Phosphorus Deficiency,76.45,63.02,69.28,7.18,44.33
Rice,Potassium Toxicity,65.55,61.12,53.56,5.6,69.87
Wheat,pH Stress,68.94,79.9,78.38,4.36,67.03
Cotton,Optimal Health,56.47,74.3,64.01,4.73,33.88
Rice,pH Stress,43.06,46.62,74.45,4.89,39.08
Rice,Potassium Toxicity,43.43,61.89,72.89,4.02,36.1
Rice,Phosphorus Deficiency,80.38,57.5,88.33,4.67,38.11
Rice,Optimal Health,44.36,85.28,63.29,6.25,35.91
Wheat,Potassium Toxicity,64.36,48.53,42.07,4.94,31.18
Rice,Potassium Toxicity,71.59,47.64,50.43,4.87,53.82
Sugarcane,Nitrogen Deficiency,74.77,54.96,83.94,5.49,48.76
Wheat,Potassium Toxicity,75.31,87.2,87.43,4.6,68.7
Cotton,Potassium Toxicity,71.91,54.33,59.05,6.0,66.56
Maize,Optimal Health,57.24,74.5,87.11,6.7,46.9
Cotton,Potassium Toxicity,73.95,58.65,70.7,4.79,43.1
Wheat,Optimal Health,75.65,66.31,54.71,6.2,31.95
Wheat,Optimal Health,83.61,47.06,88.96,6.67,50.33
Rice,pH Stress,55.77,74.11,89.43,7.2,64.15
Cotton,Optimal Health,78.8,64.79,88.7,6.8,36.91
Sugarcane,Phosphorus Deficiency,63.67,83.15,63.94,4.48,43.16
Rice,Phosphorus Deficiency,49.85,89.25,63.64,5.07,41.3
Cotton,pH Stress,87.74,81.56,60.48,5.65,53.73
Wheat,pH Stress,70.64,44.25,51.58,7.06,62.0
Wheat,Nitrogen Deficiency,50.81,49.35,63.38,7.57,30.82
Wheat,pH Stress,51.88,85.35,77.97,4.45,56.37
Rice,Potassium Toxicity,89.44,73.13,75.52,7.14,39.87
Maize,Optimal Health,55.25,78.5,80.95,5.66,31.16
Sugarcane,Potassium Toxicity,70.71,85.02,70.39,6.81,38.91
Cotton,pH Stress,42.58,54.49,87.11,4.78,54.24
Maize,pH Stress,63.85,79.66,86.62,4.28,59.56
Sugarcane,Potassium Toxicity,81.81,48.36,69.43,4.68,50.56
Maize,Optimal Health,63.58,42.69,83.09,6.71,53.74
Rice,Potassium Toxicity,80.16,78.83,79.11,7.1,56.65
Wheat,Nitrogen Deficiency,84.42,72.47,68.48,5.85,40.71
Sugarcane,Phosphorus Deficiency,83.22,62.62,88.75,6.35,54.09
Maize,Potassium Toxicity,76.28,72.09,82.67,7.84,39.42
Sugarcane,pH Stress,69.52,59.51,48.77,4.51,68.49
Sugarcane,Nitrogen Deficiency,46.37,47.66,79.03,4.76,61.1
Rice,Phosphorus Deficiency,45.19,74.5,59.57,7.56,38.25
Wheat,Potassium Toxicity,87.4,87.01,58.94,7.97,50.75
Cotton,Phosphorus Deficiency,41.76,77.44,52.76,5.41,63.97
Maize,pH Stress,54.78,74.75,69.82,5.32,46.15
Wheat,pH Stress,65.58,81.59,61.58,4.73,47.31
Rice,Nitrogen Deficiency,51.7,41.0,50.71,6.57,43.09
Wheat,Nitrogen Deficiency,44.79,42.36,73.67,4.36,62.23
Cotton,Optimal Health,61.77,62.37,88.35,4.67,54.14
Maize,Nitrogen Deficiency,40.74,88.57,61.34,4.24,44.82
Sugarcane,Potassium Toxicity,51.26,67.4,69.78,5.87,47.09
Cotton,pH Stress,44.18,68.42,55.43,4.07,37.03
Sugarcane,Potassium Toxicity,81.98,62.66,52.27,5.66,69.31
Maize,Phosphorus Deficiency,42.63,40.68,76.77,7.67,35.9
Sugarcane,Nitrogen Deficiency,52.26,40.59,47.82,6.44,63.98
Maize,Nitrogen Deficiency,75.62,82.84,75.34,4.67,43.93
Sugarcane,Optimal Health,65.44,46.63,79.16,7.88,48.13
Maize,Optimal Health,42.76,43.82,57.54,6.43,66.97
Cotton,Potassium Toxicity,73.54,72.56,88.78,6.19,56.39
Maize,Nitrogen Deficiency,57.1,68.75,44.3,5.83,60.9
Cotton,pH Stress,77.41,74.72,49.34,7.3,33.8
Rice,Nitrogen Deficiency,54.45,81.23,79.36,6.92,41.16
Maize,pH Stress,80.21,79.1,80.55,4.38,68.55
Sugarcane,Potassium Toxicity,89.12,50.03,73.58,5.54,33.86
Cotton,Optimal Health,77.82,64.7,56.33,4.13,58.32
Rice,Potassium Toxicity,41.1,46.6,76.43,6.83,53.9
Sugarcane,Potassium Toxicity,42.13,65.72,48.53,7.27,45.33
Rice,pH Stress,45.01,68.14,71.94,4.95,59.51
Sugarcane,Potassium Toxicity,69.77,69.52,77.51,7.64,59.49
Maize,Potassium Toxicity,44.31,87.27,76.92,7.88,67.08
Maize,Phosphorus Deficiency,52.37,87.0,67.44,6.54,33.13
Maize,Optimal Health,59.46,66.95,57.42,5.47,48.92
Wheat,pH Stress,50.78,56.16,70.16,6.87,55.93
Rice,Nitrogen Deficiency,59.38,40.06,62.39,5.22,39.99
Sugarcane,Potassium Toxicity,53.12,70.46,79.51,5.61,64.15
Rice,Potassium Toxicity,85.84,55.17,70.77,4.24,61.58
Wheat,Nitrogen Deficiency,82.44,65.48,51.47,5.97,57.9
Wheat,Phosphorus Deficiency,73.75,89.79,84.31,6.79,68.27
Cotton,Potassium Toxicity,71.01,68.4,63.05,4.08,45.79
Wheat,Potassium Toxicity,56.92,44.2,72.44,6.56,53.76
Rice,Potassium Toxicity,89.37,61.82,83.5,5.59,53.8
Rice,Nitrogen Deficiency,88.08,41.7,59.94,4.79,32.98
Wheat,Potassium Toxicity,55.55,75.76,89.49,6.96,57.48
Wheat,Optimal Health,40.98,76.59,69.0,7.05,44.37
Wheat,Optimal Health,83.75,59.15,61.55,5.59,32.35
Rice,Potassium Toxicity,51.77,44.94,55.42,5.12,55.03
Cotton,pH Stress,53.21,74.62,66.35,6.41,40.95
Maize,Nitrogen Deficiency,55.91,63.31,86.48,7.14,49.31
Maize,Potassium Toxicity,53.72,89.9,45.67,6.71,51.13
Cotton,Potassium Toxicity,75.88,74.76,50.99,7.63,36.14
Maize,Nitrogen Deficiency,55.29,47.33,77.83,6.17,41.56
Wheat,pH Stress,45.33,77.25,76.38,4.55,38.95
Cotton,Optimal Health,51.04,56.58,65.51,6.88,57.78
