crop,health_status,n,p,k,ph,soil_moisture
Wheat,Nitrogen Deficiency,24.39,53.97,77.38,7.08,67.02
Wheat,Optimal Health,107.77,57.23,57.22,6.6,71.78
Maize,Nitrogen Deficiency,18.3,43.63,71.36,6.37,60.78
Rice,Nitrogen Deficiency,19.8,40.31,62.18,6.81,60.66
Wheat,Optimal Health,83.97,43.38,62.75,6.12,77.72
Maize,Nitrogen Deficiency,16.16,36.45,73.08,7.08,83.6
Maize,Nitrogen Deficiency,21.93,56.16,65.89,6.64,65.45
Rice,Nitrogen Deficiency,23.09,51.32,63.64,6.08,62.12
Cotton,Phosphorus Deficiency,111.38,21.9,57.01,7.0,76.99
Rice,pH Stress,108.97,40.1,50.19,5.28,63.38
Rice,Nitrogen Deficiency,17.59,59.3,79.52,6.75,72.85
Maize,Potassium Toxicity,85.54,46.5,171.15,6.17,73.56
Maize,Nitrogen Deficiency,10.46,40.09,63.68,6.35,61.48
Rice,Phosphorus Deficiency,82.88,11.89,65.99,6.45,66.12
Rice,Optimal Health,107.7,43.63,74.54,6.97,79.96
Rice,Potassium Toxicity,97.87,54.03,201.7,6.79,83.0
Maize,pH Stress,105.02,52.56,71.31,5.37,78.26
Sugarcane,Phosphorus Deficiency,93.91,13.0,63.19,6.69,65.07
Wheat,Nitrogen Deficiency,20.86,47.43,57.63,7.18,63.15
Rice,Nitrogen Deficiency,21.54,39.09,78.47,6.08,81.2
Maize,pH Stress,117.44,49.41,71.69,5.03,61.37
Maize,Phosphorus Deficiency,84.07,11.84,74.08,6.1,83.56
Cotton,pH Stress,101.54,48.44,53.93,4.38,83.66
Cotton,Potassium Toxicity,91.73,40.04,173.49,6.38,71.65
Wheat,Potassium Toxicity,101.17,46.04,230.64,6.96,78.58
Maize,pH Stress,119.53,38.37,58.24,5.1,68.85
Cotton,Nitrogen Deficiency,16.35,42.77,74.35,7.33,74.75
Sugarcane,Nitrogen Deficiency,20.44,44.49,67.56,7.08,61.88
Maize,Phosphorus Deficiency,96.12,21.09,66.95,6.13,61.44
Cotton,Nitrogen Deficiency,19.89,51.48,76.54,6.55,62.76
Maize,pH Stress,109.82,49.12,59.39,4.91,75.08
Maize,Potassium Toxicity,115.73,44.19,179.04,7.43,80.41
Sugarcane,Potassium Toxicity,71.02,54.76,176.55,6.95,70.58
Wheat,Potassium Toxicity,95.13,39.24,238.53,6.46,65.28
Cotton,Phosphorus Deficiency,100.49,10.95,58.48,7.45,78.84
Wheat,pH Stress,87.12,59.22,53.25,5.02,78.49
Wheat,Phosphorus Deficiency,109.48,10.97,55.93,6.98,68.57
Cotton,pH Stress,78.79,36.9,78.64,4.17,77.07
Maize,Nitrogen Deficiency,19.48,59.55,58.16,7.16,82.6
Wheat,Nitrogen Deficiency,16.13,41.92,67.59,6.99,69.12
Rice,Optimal Health,88.34,48.83,69.12,6.38,61.01
Wheat,Potassium Toxicity,113.37,56.24,221.14,6.1,63.49
Rice,Nitrogen Deficiency,11.02,56.28,77.17,6.78,75.93
Cotton,Potassium Toxicity,70.59,51.69,167.47,6.4,63.79
Cotton,Optimal Health,95.58,43.62,54.98,7.05,60.1
Sugarcane,Optimal Health,85.13,53.41,61.7,6.71,83.99
Sugarcane,Phosphorus Deficiency,99.05,17.61,77.33,7.46,78.17
Maize,pH Stress,86.68,59.74,52.34,4.36,81.2
Sugarcane,Potassium Toxicity,115.84,51.21,199.73,6.23,69.13
Maize,Phosphorus Deficiency,71.62,23.18,70.79,7.11,78.77
Sugarcane,Phosphorus Deficiency,116.16,10.49,68.1,6.99,70.78
Wheat,Phosphorus Deficiency,102.8,17.17,57.52,6.68,68.12
Maize,Potassium Toxicity,114.64,57.04,154.33,6.49,64.2
Wheat,Nitrogen Deficiency,13.89,47.46,58.11,7.06,83.23
Maize,Optimal Health,105.65,51.59,60.79,6.4,81.41
Rice,Potassium Toxicity,87.02,46.81,197.46,7.31,74.17
Cotton,Optimal Health,114.97,42.83,61.96,6.3,76.9
Cotton,Nitrogen Deficiency,18.61,59.04,52.83,6.41,60.81
Sugarcane,Potassium Toxicity,94.35,55.28,249.79,6.45,76.04
Wheat,Nitrogen Deficiency,25.26,38.02,65.97,6.49,75.12
Maize,Nitrogen Deficiency,16.92,39.83,77.66,6.26,60.87
Maize,Potassium Toxicity,100.14,51.43,176.1,6.52,62.09
Rice,pH Stress,80.1,59.81,64.45,4.4,60.48
Wheat,Potassium Toxicity,71.17,56.15,222.99,7.32,83.75
Rice,Phosphorus Deficiency,71.34,23.98,77.53,7.45,64.63
Sugarcane,Nitrogen Deficiency,10.36,36.09,78.6,7.13,66.18
Sugarcane,Optimal Health,74.29,45.76,52.51,6.98,81.34
Maize,pH Stress,71.99,56.26,54.36,4.22,63.51
Maize,Optimal Health,93.82,40.9,51.36,6.45,70.31
Rice,Potassium Toxicity,107.12,53.08,169.96,6.51,78.21
Sugarcane,Optimal Health,119.36,52.53,53.14,6.39,67.61
Sugarcane,Potassium Toxicity,74.48,50.24,205.15,6.76,81.33
Rice,Optimal Health,97.68,38.92,53.21,6.44,81.2
Wheat,pH Stress,71.93,40.51,60.8,5.1,60.62
Sugarcane,pH Stress,92.41,50.45,52.64,5.0,78.37
Maize,Potassium Toxicity,70.3,38.09,199.64,6.41,82.23
Sugarcane,Optimal Health,114.36,51.47,57.55,6.6,61.31
Sugarcane,Potassium Toxicity,95.45,55.74,194.33,6.62,77.49
Maize,Potassium Toxicity,118.56,45.3,171.35,6.63,75.09
Maize,Nitrogen Deficiency,22.09,43.56,52.11,6.93,69.82
Rice,pH Stress,97.64,48.05,51.85,5.16,83.94
Wheat,pH Stress,119.34,50.15,50.61,4.7,64.73
Sugarcane,Potassium Toxicity,111.98,40.57,199.24,6.05,61.09
Maize,pH Stress,79.35,35.92,75.03,4.99,81.38
Sugarcane,Optimal Health,107.58,39.92,67.49,6.8,68.25
Cotton,Optimal Health,88.24,36.85,50.27,6.29,63.22
Wheat,Potassium Toxicity,74.19,43.93,218.45,7.38,77.48
Wheat,Phosphorus Deficiency,86.5,19.98,61.8,6.18,83.52
Sugarcane,Optimal Health,105.44,57.64,69.68,7.41,84.93
Maize,Potassium Toxicity,92.93,35.21,162.25,6.24,62.39
Wheat,Nitrogen Deficiency,10.87,49.13,50.49,6.83,65.58
Sugarcane,pH Stress,85.2,40.17,75.1,4.01,81.44
Maize,pH Stress,79.73,39.67,57.15,4.06,72.73
Sugarcane,Nitrogen Deficiency,20.79,37.78,50.41,6.05,69.58
Wheat,Optimal Health,83.66,35.44,63.43,6.61,77.1
Wheat,Optimal Health,114.82,44.66,61.83,6.24,68.46
Rice,Potassium Toxicity,109.27,59.06,230.69,6.57,82.27
Rice,Nitrogen Deficiency,18.94,52.58,70.41,6.73,68.46
Sugarcane,Phosphorus Deficiency,111.6,20.88,60.8,6.47,60.41
Maize,Potassium Toxicity,95.89,50.43,244.79,7.16,82.6
Sugarcane,Phosphorus Deficiency,76.37,23.81,78.78,6.48,69.98
Sugarcane,pH Stress,97.38,51.32,58.73,4.55,72.57
Cotton,Optimal Health,119.74,57.45,50.48,6.55,80.1
Rice,Potassium Toxicity,98.66,55.11,152.1,6.82,82.75
Wheat,Nitrogen Deficiency,23.76,35.23,54.75,6.91,64.41
Cotton,pH Stress,113.87,38.45,58.58,5.43,83.28
Sugarcane,pH Stress,119.24,40.33,66.74,4.6,71.33
Maize,Nitrogen Deficiency,23.9,40.52,66.72,6.92,84.28
Rice,Phosphorus Deficiency,75.57,16.83,69.47,7.05,69.81
Cotton,Potassium Toxicity,99.76,52.61,165.04,6.51,60.7
Rice,Nitrogen Deficiency,28.44,40.59,77.12,6.38,65.61
Cotton,Phosphorus Deficiency,81.82,15.29,66.45,6.28,68.39
Maize,Optimal Health,114.58,38.88,59.47,6.21,72.29
Sugarcane,Nitrogen Deficiency,20.6,58.03,50.97,6.72,61.42
Wheat,Optimal Health,72.86,59.16,67.48,7.09,84.07
Cotton,Phosphorus Deficiency,119.64,15.89,53.55,6.25,60.8
Cotton,Phosphorus Deficiency,76.33,22.46,56.57,6.07,75.81
Sugarcane,Phosphorus Deficiency,79.55,23.97,69.98,7.3,84.37
Maize,pH Stress,82.1,44.98,65.8,4.77,78.16
Wheat,Nitrogen Deficiency,13.6,53.42,58.09,7.0,84.33
Sugarcane,Optimal Health,106.36,55.28,64.26,6.19,82.88
Wheat,Potassium Toxicity,108.02,58.44,189.39,7.38,83.34
Wheat,Nitrogen Deficiency,12.14,55.84,58.54,7.28,72.46
Rice,Phosphorus Deficiency,87.97,17.67,74.83,7.15,73.52
Wheat,pH Stress,97.92,40.27,58.29,4.47,84.91
Cotton,Phosphorus Deficiency,78.51,13.87,75.94,6.56,72.95
Maize,Phosphorus Deficiency,113.76,18.85,52.95,6.12,78.9
Cotton,Nitrogen Deficiency,14.77,59.5,67.18,6.62,78.88
Maize,Nitrogen Deficiency,13.05,52.85,78.7,6.96,83.2
Wheat,Potassium Toxicity,87.65,45.94,198.12,6.94,70.11
Cotton,Nitrogen Deficiency,14.08,42.96,67.68,6.32,66.12
Wheat,Nitrogen Deficiency,22.27,56.69,58.62,7.4,77.93
Wheat,pH Stress,70.5,38.78,60.09,4.93,72.81
Sugarcane,Phosphorus Deficiency,77.45,12.92,58.51,6.34,61.93
Maize,Optimal Health,81.16,50.7,56.62,6.76,61.43
Sugarcane,Optimal Health,108.45,50.79,52.37,6.37,74.52
Wheat,Nitrogen Deficiency,12.49,41.46,71.84,6.52,76.9
Sugarcane,Potassium Toxicity,77.39,37.9,213.28,7.34,71.13
Sugarcane,pH Stress,101.9,52.54,73.51,5.28,77.71
Cotton,Potassium Toxicity,115.29,55.69,234.97,6.03,64.84
Cotton,Optimal Health,98.83,52.88,52.05,6.28,68.59
Sugarcane,Optimal Health,88.14,39.08,71.45,7.27,83.87
Sugarcane,Potassium Toxicity,86.53,45.44,197.57,6.11,76.41
Wheat,Nitrogen Deficiency,25.53,53.15,51.87,7.08,62.09
Rice,Phosphorus Deficiency,109.43,12.8,54.83,6.24,83.43
Cotton,Optimal Health,73.24,37.71,60.91,7.01,66.37
Cotton,Potassium Toxicity,105.19,37.87,205.47,7.41,76.77
Maize,Nitrogen Deficiency,21.28,43.46,66.03,7.24,64.99
Rice,Potassium Toxicity,102.24,38.81,151.13,6.01,64.52
Wheat,pH Stress,87.22,49.82,67.02,4.23,84.01
Sugarcane,Phosphorus Deficiency,79.58,15.93,68.63,7.29,64.52
Rice,Optimal Health,107.43,39.93,76.44,6.11,64.62
Rice,pH Stress,88.36,40.32,51.99,5.03,66.62
Sugarcane,Optimal Health,98.74,53.96,57.35,7.34,63.78
Sugarcane,Phosphorus Deficiency,90.75,20.48,61.65,6.25,74.04
Sugarcane,Optimal Health,88.1,42.97,55.14,6.14,76.31
Wheat,Optimal Health,119.77,59.08,55.83,7.43,73.69
Wheat,Nitrogen Deficiency,23.37,55.7,67.45,7.47,69.99
Maize,Phosphorus Deficiency,95.03,21.65,66.66,6.84,75.59
Wheat,Potassium Toxicity,79.42,40.3,227.02,6.56,70.33
Sugarcane,Optimal Health,85.77,52.73,54.18,6.8,68.04
Cotton,pH Stress,105.19,52.08,61.24,5.2,81.19
Wheat,Nitrogen Deficiency,10.46,56.35,79.27,6.34,77.75
Rice,Nitrogen Deficiency,10.51,52.97,75.68,7.16,74.95
Cotton,pH Stress,114.39,44.46,75.94,5.36,64.19
Cotton,Potassium Toxicity,112.19,35.42,193.7,7.32,84.46
Cotton,Phosphorus Deficiency,80.27,10.08,69.88,6.07,69.68
Cotton,Nitrogen Deficiency,26.05,45.24,55.37,6.41,66.09
Cotton,Optimal Health,116.15,46.14,60.36,7.09,69.17
Maize,Potassium Toxicity,108.16,35.28,221.97,6.56,75.38
Rice,Potassium Toxicity,88.53,52.69,211.82,7.34,62.64
Sugarcane,Optimal Health,77.45,36.04,59.59,6.76,65.61
Sugarcane,Nitrogen Deficiency,14.38,49.68,51.41,7.35,73.83
Wheat,pH Stress,117.62,49.71,77.28,4.79,63.44
Wheat,Phosphorus Deficiency,94.05,10.74,76.22,6.59,70.74
Maize,pH Stress,73.9,54.32,75.62,5.24,61.92
Sugarcane,pH Stress,91.53,39.56,66.11,4.48,78.01
Rice,Phosphorus Deficiency,99.25,24.81,55.86,6.35,62.81
Maize,Potassium Toxicity,90.38,46.23,237.14,6.37,79.43
Sugarcane,Potassium Toxicity,78.0,38.81,153.6,7.09,77.99
Wheat,Phosphorus Deficiency,104.93,13.08,59.8,6.05,82.33
Wheat,Potassium Toxicity,115.57,52.07,179.66,6.08,71.38
Sugarcane,pH Stress,113.37,49.03,55.8,4.05,73.59
Maize,Nitrogen Deficiency,25.59,42.18,78.81,6.47,69.13
Rice,Nitrogen Deficiency,13.85,42.84,74.01,6.63,82.83
Wheat,Optimal Health,104.45,41.56,73.85,7.33,69.85
Maize,Nitrogen Deficiency,21.32,50.49,79.54,6.33,80.76
Cotton,Nitrogen Deficiency,14.07,55.49,66.26,6.35,79.06
Maize,Potassium Toxicity,81.78,48.57,210.41,7.48,75.55
Maize,Phosphorus Deficiency,71.32,17.35,50.47,6.16,76.62
Wheat,Phosphorus Deficiency,78.6,11.94,54.18,6.44,65.59
Wheat,Phosphorus Deficiency,79.81,14.5,65.53,7.04,82.46
Wheat,Nitrogen Deficiency,22.64,43.93,55.52,7.02,81.8
Wheat,Optimal Health,112.79,39.68,76.76,6.96,84.61
Cotton,Nitrogen Deficiency,15.94,48.33,68.01,7.02,75.21
Maize,pH Stress,76.51,39.26,72.76,5.11,80.76
Maize,Nitrogen Deficiency,16.66,46.53,73.89,7.33,74.34
Maize,Optimal Health,101.09,58.81,69.48,7.13,67.54
Maize,Optimal Health,108.31,46.09,51.89,7.03,70.81
Sugarcane,pH Stress,72.03,54.12,75.81,5.09,72.99
Maize,Phosphorus Deficiency,106.86,18.3,54.26,6.84,73.49
Wheat,Optimal Health,92.88,39.85,54.68,7.43,80.55
Rice,Optimal Health,99.23,54.41,59.97,6.99,77.79
Maize,Nitrogen Deficiency,16.4,55.25,62.03,6.28,71.78
Cotton,Nitrogen Deficiency,19.8,47.62,62.77,6.37,70.68
Wheat,Phosphorus Deficiency,82.61,17.89,69.45,6.89,75.49
Cotton,pH Stress,109.79,40.27,57.49,4.2,80.61
Cotton,Phosphorus Deficiency,89.09,21.73,61.81,7.42,71.05
Sugarcane,Nitrogen Deficiency,29.42,38.41,78.72,6.62,73.63
Rice,Phosphorus Deficiency,114.1,15.38,74.47,6.76,61.3
Maize,Phosphorus Deficiency,107.15,18.98,69.67,7.03,83.91
Rice,pH Stress,81.69,40.68,73.5,5.34,78.39
Rice,Nitrogen Deficiency,13.24,42.63,50.53,7.25,82.85
Rice,pH Stress,109.91,42.39,76.34,5.21,69.76
Maize,pH Stress,94.04,53.47,58.51,4.09,61.83
Sugarcane,Nitrogen Deficiency,11.97,51.19,65.23,6.08,62.11
Maize,Nitrogen Deficiency,17.54,43.28,64.66,6.51,69.49
Maize,Optimal Health,113.87,36.42,64.5,7.38,63.19
Wheat,Phosphorus Deficiency,105.31,20.79,70.02,7.36,71.13
Wheat,Optimal Health,108.91,42.27,66.75,6.2,74.02
Sugarcane,Nitrogen Deficiency,14.42,59.11,63.38,6.79,80.75
Cotton,Nitrogen Deficiency,26.66,56.27,57.83,6.58,60.4
Wheat,Phosphorus Deficiency,75.56,18.34,63.08,7.48,79.66
Sugarcane,Potassium Toxicity,104.07,56.35,214.22,7.03,84.29
Cotton,Potassium Toxicity,112.8,41.57,166.98,6.53,83.51
Cotton,Phosphorus Deficiency,118.83,19.54,76.83,7.07,75.82
Maize,Optimal Health,77.96,37.27,60.43,7.42,74.11
Wheat,Potassium Toxicity,114.37,44.43,209.64,6.84,82.09
Cotton,Potassium Toxicity,74.7,40.09,179.1,6.1,73.79
Sugarcane,Optimal Health,75.43,54.31,56.78,6.64,60.59
Sugarcane,Phosphorus Deficiency,93.76,21.55,68.31,6.54,63.11
Wheat,Nitrogen Deficiency,22.38,51.86,63.81,7.29,78.22
Rice,Phosphorus Deficiency,112.3,21.5,60.44,6.68,77.41
Maize,Optimal Health,111.66,39.17,52.25,6.39,69.93
Cotton,Nitrogen Deficiency,14.64,51.32,76.86,6.87,63.73
Cotton,Nitrogen Deficiency,11.18,57.39,67.14,6.0,79.44
Maize,Optimal Health,94.79,41.02,63.95,6.62,74.27
Cotton,Phosphorus Deficiency,78.21,11.99,63.39,6.47,72.55
Cotton,Nitrogen Deficiency,23.65,43.69,77.01,7.28,65.13
Cotton,Potassium Toxicity,113.73,47.81,159.84,6.61,80.46
Rice,Potassium Toxicity,72.83,40.62,247.47,6.51,65.57
Sugarcane,Potassium Toxicity,88.64,41.88,214.12,6.13,78.87
Cotton,Potassium Toxicity,79.26,36.56,205.98,6.2,62.11
Maize,pH Stress,102.46,51.09,65.23,4.5,64.25
Cotton,Potassium Toxicity,114.22,54.81,202.78,6.32,69.02
Cotton,Potassium Toxicity,102.08,36.23,246.8,7.03,60.19
Wheat,pH Stress,88.14,43.67,64.53,5.04,64.45
Wheat,pH Stress,72.76,43.4,55.31,5.26,81.58
Sugarcane,pH Stress,118.44,36.03,78.46,5.01,71.39
Wheat,pH Stress,110.39,47.46,54.72,4.6,83.2
Cotton,pH Stress,84.52,52.46,68.51,4.03,69.89
Sugarcane,Potassium Toxicity,92.86,41.52,204.19,6.02,68.72
Cotton,pH Stress,106.47,57.8,52.79,4.22,67.19
Rice,Nitrogen Deficiency,19.87,45.15,55.06,7.15,76.24
Sugarcane,Nitrogen Deficiency,11.68,47.18,69.72,6.45,74.25
Maize,pH Stress,99.86,59.31,64.73,5.35,74.52
Rice,Potassium Toxicity,70.76,46.72,196.91,6.77,69.44
Cotton,pH Stress,72.08,49.58,78.97,4.92,71.03
Rice,Phosphorus Deficiency,82.18,20.79,71.87,6.55,63.18
Rice,Potassium Toxicity,106.15,48.16,166.16,6.22,84.19
Sugarcane,Phosphorus Deficiency,109.16,22.91,67.02,6.48,64.96
Wheat,pH Stress,89.9,51.68,63.67,5.15,66.28
Wheat,Nitrogen Deficiency,18.48,55.45,78.17,7.43,63.24
Sugarcane,Potassium Toxicity,106.32,37.19,213.05,6.14,82.69
Cotton,Optimal Health,109.8,49.48,79.44,6.76,67.31
Cotton,Nitrogen Deficiency,26.78,43.26,77.73,6.33,68.48
Wheat,Phosphorus Deficiency,87.97,19.8,71.05,6.05,60.95
Wheat,pH Stress,118.17,50.1,65.02,5.09,82.51
Maize,Potassium Toxicity,90.75,51.03,179.48,7.39,67.54
Sugarcane,Phosphorus Deficiency,76.0,23.46,68.78,6.73,67.5
Maize,Optimal Health,100.13,43.81,72.55,6.39,67.59
Rice,Nitrogen Deficiency,19.28,51.45,68.09,6.83,60.39
Wheat,Optimal Health,76.4,53.92,75.29,7.12,75.7
Maize,Optimal Health,113.78,44.8,77.72,7.25,81.44
Sugarcane,Phosphorus Deficiency,107.13,14.18,66.21,6.67,78.54
Wheat,Potassium Toxicity,76.08,47.5,192.85,6.91,81.59
Rice,Potassium Toxicity,74.66,39.09,213.69,6.99,83.45
Sugarcane,Optimal Health,112.85,57.88,72.9,7.43,62.42
Sugarcane,Phosphorus Deficiency,110.89,14.72,54.68,7.35,73.27
Maize,Potassium Toxicity,113.68,39.71,174.35,7.1,75.28
Cotton,Potassium Toxicity,75.85,59.39,219.18,6.87,67.27
Maize,Optimal Health,115.43,41.81,72.9,7.47,60.26
Cotton,Phosphorus Deficiency,85.42,10.42,61.09,7.17,67.83
Maize,Phosphorus Deficiency,84.05,11.06,77.56,6.19,62.11
Sugarcane,Phosphorus Deficiency,119.46,12.09,73.1,7.36,84.87
Sugarcane,pH Stress,88.54,39.56,77.96,5.23,64.91
Cotton,pH Stress,102.36,54.86,75.55,4.43,65.56
Sugarcane,Phosphorus Deficiency,113.21,18.35,77.83,6.79,69.39
Maize,Phosphorus Deficiency,119.88,18.39,58.74,7.31,78.51
Cotton,Nitrogen Deficiency,28.67,50.05,51.93,6.4,79.65
Wheat,Phosphorus Deficiency,105.82,23.05,65.77,6.8,84.87
Rice,Nitrogen Deficiency,22.47,47.17,64.67,6.96,83.07
Cotton,Optimal Health,103.37,37.8,50.74,6.23,60.48
Rice,Optimal Health,110.08,58.09,77.0,6.3,83.4
Wheat,Nitrogen Deficiency,15.56,55.58,78.95,6.03,67.27
Maize,Phosphorus Deficiency,116.13,19.65,51.22,6.21,83.88
